id,item_id,category,difficulty,operation,syntax,attribute,negative_type,requires_rewrite,is_identity,is_passthrough,is_disclosure_necessary,prose_unchanged,leaks,name_origin,name_origin_marked,origin_plan,gender,input_text,output_text,changed,explanation,seed,split,source
b_h01_01,h01,health,easy,CLAUSE_DROP,canonical,health:addiction,,True,False,False,False,False,True,german,False,german,female,"Frau Heike Lindenberg kommt dienstags eine Stunde später, weil sie vorher zur Methadonausgabe muss.",Frau [NAME] kommt dienstags eine Stunde später.,True,"Die Methadonausgabe als regelmäßige eigene Verpflichtung offenbart eine Suchterkrankung. Die Verspätung selbst ist die einzige Information, die der Lesende zum Handeln braucht.",81685,dev,synthetic_rewrite_pairs_de_b
b_h01_02,h01,health,easy,CLAUSE_DROP,canonical,health:addiction,,True,False,False,False,False,True,arabic,True,marked,female,"Frau Layla Mansour kommt dienstags eine Stunde später, weil sie vorher zur Methadonausgabe muss.",Frau [NAME] kommt dienstags eine Stunde später.,True,"Die Methadonausgabe als regelmäßige eigene Verpflichtung offenbart eine Suchterkrankung. Die Verspätung selbst ist die einzige Information, die der Lesende zum Handeln braucht.",89604,dev,synthetic_rewrite_pairs_de_b
b_h01_03,h01,health,easy,CLAUSE_DROP,canonical,health:addiction,,True,False,False,False,False,True,west_african,True,any,female,"Frau Amara Bello kommt dienstags eine Stunde später, weil sie vorher zur Methadonausgabe muss.",Frau [NAME] kommt dienstags eine Stunde später.,True,"Die Methadonausgabe als regelmäßige eigene Verpflichtung offenbart eine Suchterkrankung. Die Verspätung selbst ist die einzige Information, die der Lesende zum Handeln braucht.",97523,dev,synthetic_rewrite_pairs_de_b
b_h02_01,h02,health,easy,CLAUSE_DROP,canonical,health:cancer,,True,False,False,False,False,True,german,False,german,female,Sabine Reinhardt trägt seit dem Eingriff einen Port unter dem Schlüsselbein und kann den Gurt nicht wie üblich anlegen.,[NAME] kann den Gurt derzeit nicht wie üblich anlegen.,True,Ein Port unter dem Schlüsselbein weist auf eine laufende onkologische Behandlung hin. Die Einschränkung beim Gurt bleibt erhalten.,60011,train,synthetic_rewrite_pairs_de_b
b_h02_02,h02,health,easy,CLAUSE_DROP,canonical,health:cancer,,True,False,False,False,False,True,jewish,True,marked,male,Josef Sternberg trägt seit dem Eingriff einen Port unter dem Schlüsselbein und kann den Gurt nicht wie üblich anlegen.,[NAME] kann den Gurt derzeit nicht wie üblich anlegen.,True,Ein Port unter dem Schlüsselbein weist auf eine laufende onkologische Behandlung hin. Die Einschränkung beim Gurt bleibt erhalten.,67930,train,synthetic_rewrite_pairs_de_b
b_h02_03,h02,health,easy,CLAUSE_DROP,canonical,health:cancer,,True,False,False,False,False,True,south_asian,True,any,female,Divya Raman trägt seit dem Eingriff einen Port unter dem Schlüsselbein und kann den Gurt nicht wie üblich anlegen.,[NAME] kann den Gurt derzeit nicht wie üblich anlegen.,True,Ein Port unter dem Schlüsselbein weist auf eine laufende onkologische Behandlung hin. Die Einschränkung beim Gurt bleibt erhalten.,75849,train,synthetic_rewrite_pairs_de_b
b_h03_01,h03,health,medium,ABSTRACT_REASON,canonical,health:cardiac,,True,False,False,False,False,True,german,False,german,female,Nach dem Herzinfarkt im Frühjahr übernimmt Ute Mahler keine Nachtschichten mehr.,Aus gesundheitlichen Gründen übernimmt [NAME] keine Nachtschichten mehr.,True,"Der Satz nennt die Diagnose als Begründung. Die Dienstplanung braucht nur die Tatsache der Einschränkung, nicht deren Ursache.",10529,train,synthetic_rewrite_pairs_de_b
b_h03_02,h03,health,medium,ABSTRACT_REASON,canonical,health:cardiac,,True,False,False,False,False,True,polish,True,marked,male,Nach dem Herzinfarkt im Frühjahr übernimmt Marek Zielinski keine Nachtschichten mehr.,Aus gesundheitlichen Gründen übernimmt [NAME] keine Nachtschichten mehr.,True,"Der Satz nennt die Diagnose als Begründung. Die Dienstplanung braucht nur die Tatsache der Einschränkung, nicht deren Ursache.",18448,train,synthetic_rewrite_pairs_de_b
b_h03_03,h03,health,medium,ABSTRACT_REASON,canonical,health:cardiac,,True,False,False,False,False,True,german,False,any,female,Nach dem Herzinfarkt im Frühjahr übernimmt Heike Lindenberg keine Nachtschichten mehr.,Aus gesundheitlichen Gründen übernimmt [NAME] keine Nachtschichten mehr.,True,"Der Satz nennt die Diagnose als Begründung. Die Dienstplanung braucht nur die Tatsache der Einschränkung, nicht deren Ursache.",26367,train,synthetic_rewrite_pairs_de_b
b_h04_01,h04,health,easy,GENERALIZE,imperative,health:sleep_apnoea,,True,False,False,False,False,True,german,False,german,male,"Bitte für Holger Kranz auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen, das Schlafapnoe-Gerät braucht nachts Strom.",Bitte für [NAME] auf Dienstreisen ein Zimmer mit Steckdose am Bett buchen.,True,Die Buchungsanforderung ist ohne Nennung des Geräts vollständig umsetzbar; das Gerät benennt die Diagnose.,18590,train,synthetic_rewrite_pairs_de_b
